rank,internal_row_id,canonical_name,score,bucket,city,sector_label,website,normalized_domain,address,google_category,google_maps_url
193,uae-pilot-0214,Fusion International Shipping & Logistics Co.L.L.C,43,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.fusionshipping.com/,fusionshipping.com,"Building –P1340, Block -B ,Electra Street - Abu Dhabi - United Arab Emirates",Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Fusion%20International%20Shipping%20%26%20Logistics%20Co.L.L.C&query_place_id=ChIJm04MKg9pXj4R7veqRUtjDSQ
194,uae-pilot-0229,HALLMARK SHIPPINGLINE LLC DUBAI,43,medium_priority_backlog,Dubai,Logistics (secondary),https://www.hallmark-shipping.com/,hallmark-shipping.com,Awards Building - 204 A block Al hudaiba - Jumeirah - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=HALLMARK%20SHIPPINGLINE%20LLC%20DUBAI&query_place_id=ChIJ9_JAQuBDXz4Rlfl_0lb0Dec
195,uae-pilot-0249,IDEA CARGO LLC,43,medium_priority_backlog,Dubai,Logistics (secondary),http://www.ideacargo.com/,ideacargo.com,CRYSTAL BUILDING - 2ND FLOOR - SUITE 202 - 121 Sheikh Khalifa Bin Zayed St - Al Karama - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=IDEA%20CARGO%20LLC&query_place_id=ChIJgcwJCxNDXz4RF5odl8J5Jt4
196,uae-pilot-0271,KLN SHIPPING AND LOGISTICS SERVICES,43,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.klnglobal.com/,klnglobal.com,"Al-jaber Jewelry, building A to Z properties - unit 501-502 - 5th floor - opposite to Mheri center - Al Khalidiyah - W6 - Abu Dhabi - United Arab Emirates",Freight forwarding service,https://www.google.com/maps/search/?api=1&query=KLN%20SHIPPING%20AND%20LOGISTICS%20SERVICES&query_place_id=ChIJLwco-btpXj4R3wn76q_5O3s
197,uae-pilot-0280,Longtrans International Logistics L.L.C,43,medium_priority_backlog,Dubai,Logistics (secondary),http://www.longtrans.cn/,longtrans.cn,129 Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=Longtrans%20International%20Logistics%20L.L.C&query_place_id=ChIJsQx7cgRDXz4RFQHGIBzuJa0
198,uae-pilot-0294,Matrix Accounting Services,43,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://group-matrix.com/,group-matrix.com,"Yas Mall, Level 1، Cloud Spaces - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Matrix%20Accounting%20Services&query_place_id=ChIJbQVu_45nXj4RdCqVpSMwHWk
199,uae-pilot-0347,PATIO ARCHITECTS L.L.C.,43,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://patio-architects.com/,patio-architects.com,Incubator Building Office A122 - Masdar City - SE45 05 - Abu Dhabi - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=PATIO%20ARCHITECTS%20L.L.C.&query_place_id=ChIJR5gYcsxJXj4RH8m7K56rWOw
200,uae-pilot-0354,PM Sheeraz,43,medium_priority_backlog,Dubai,Interior Design (secondary),http://www.pmsheeraz.com/,pmsheeraz.com,Dubai Real Estate Center - Mabani Consulting - 411 Al Mina St - Al Hudaiba - Dubai - United Arab Emirates,Interior Decorator,https://www.google.com/maps/search/?api=1&query=PM%20Sheeraz&query_place_id=ChIJLXaI1MNDXz4RCpbFfKkevT0
201,uae-pilot-0386,SeAir Global Logistics LLC,43,medium_priority_backlog,Dubai,Logistics (secondary),https://seairglobal.com/,seairglobal.com,2nd December St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=SeAir%20Global%20Logistics%20LLC&query_place_id=ChIJ9_q3VOtDXz4RCTo8-HHpwNs
202,uae-pilot-0336,Nws Logistics LLC,42,medium_priority_backlog,Dubai,Logistics (secondary),http://www.nwslogistics.com/,nwslogistics.com,"Crystal Business Centre, office 104 Near ADCB Metro Station - Al Karama - Dubai - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Nws%20Logistics%20LLC&query_place_id=ChIJU0esXl1DXz4Ri9eyHyFaHcs
203,uae-pilot-0247,"IAL LOGISTICS LLC, ABU DHABI",41,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.ialuae.com/,ialuae.com,F9M5+2XQ - Sheikh Rashid Bin Saeed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=IAL%20LOGISTICS%20LLC%2C%20ABU%20DHABI&query_place_id=ChIJaazTfG5mXj4RZuTOXngvjg4
204,uae-pilot-0269,KHYBER SHIPPING AND CARGO SERVICES L.L.C,41,medium_priority_backlog,Dubai,Logistics (secondary),https://khyber-shipping--cargo-services-l-l-c.webnode.page/,khyber-shipping--cargo-services-l-l-c.webnode.page,Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=KHYBER%20SHIPPING%20AND%20CARGO%20SERVICES%20L.L.C&query_place_id=ChIJFa7ENYhDXz4R1wSZwYo_CVk
205,uae-pilot-0424,Total Care Retail Solutions,39,medium_priority_backlog,Dubai,Other,https://www.partnertechcorp.com/me,partnertechcorp.com,"AlMas Business Center - Al Mankhool Room 106, Unit 51, Al Aghaadir Building - 101 - Dubai - United Arab Emirates",Computer service,https://www.google.com/maps/search/?api=1&query=Total%20Care%20Retail%20Solutions&query_place_id=ChIJPSP_I1JDXz4RA1z5YwDMZXs
206,uae-pilot-0316,NASER AL SAYER & CO. LLC - NASCO Office Furniture - Karama,38,medium_priority_backlog,Dubai,Other,http://www.nasco-uae.com/,nasco-uae.com,Opp: Zabeel Park - Sheikh Rashid Rd - Al Karama - Dubai - United Arab Emirates,Office furniture store,https://www.google.com/maps/search/?api=1&query=NASER%20AL%20SAYER%20%26%20CO.%20LLC%20-%20NASCO%20Office%20Furniture%20-%20Karama&query_place_id=ChIJo98y5dtCXz4RLugLCY34Drg
207,uae-pilot-0056,Al Rabiah Trading Co LLC,37,medium_priority_backlog,Dubai,Other,http://www.alrabiahtrading.com/,alrabiahtrading.com,"Karama, Nr Karama Metro Stn - Dubai - United Arab Emirates",Store,https://www.google.com/maps/search/?api=1&query=Al%20Rabiah%20Trading%20Co%20LLC&query_place_id=ChIJ5QVZznZDXz4R0zQ7G8XzUys
208,uae-pilot-0185,El Didi Logistics LLC,37,medium_priority_backlog,Dubai,Logistics (secondary),http://www.eldidigroup.com/,eldidigroup.com,"7th Floor Office No. C807 Al Ghazal Commercial Complex, Al Bada’a - Dubai - United Arab Emirates",Freight forwarding service,https://www.google.com/maps/search/?api=1&query=El%20Didi%20Logistics%20LLC&query_place_id=ChIJk-F00gFDXz4RcszChWJfKLY
209,uae-pilot-0387,Seethi Co Logistics LLC,37,medium_priority_backlog,Abu Dhabi,Logistics (secondary),https://www.seethico.com/,seethico.com,Qroun At Tufouh St - Al Hisn - Al Markaziyah West - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=Seethi%20Co%20Logistics%20LLC&query_place_id=ChIJX_oswjDwpo8RXSDaELXdUCA
210,uae-pilot-0390,SEY GENERAL TRADING LLC,37,medium_priority_backlog,Dubai,Logistics (secondary),http://www.seyfreightgroup.com/,seyfreightgroup.com,Awards Building - Al Hudaiba - Al Mina St - Jumeirah - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=SEY%20GENERAL%20TRADING%20LLC&query_place_id=ChIJK2WcQ_1DXz4Rd1nVqwAxE-U
211,uae-pilot-0391,Shahmeer transport Moving Service,37,medium_priority_backlog,Dubai,Logistics (secondary),https://shahmeer-moving-shifting.lovable.app/,shahmeer-moving-shifting.lovable.app,Street 6C - Al Jafiliya - Dubai - United Arab Emirates,Mover,https://www.google.com/maps/search/?api=1&query=Shahmeer%20transport%20Moving%20Service&query_place_id=ChIJpxRsQZBDXz4RXNa0FGGlel8
212,uae-pilot-0215,Future Net Logistics LLC - Branch of Abu Dhabi 1,33,low_priority,Abu Dhabi,Logistics (secondary),http://futurenetlogistics.com/,futurenetlogistics.com,"Office 3-1, Unit 101, First Floor, Al Jaber Jewellery Building P.B.NO: 30500 Al Khalidiya - Abu Dhabi - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Future%20Net%20Logistics%20LLC%20-%20Branch%20of%20Abu%20Dhabi%201&query_place_id=ChIJY64IAhRnXj4RwCip2vygZVc
213,uae-pilot-0329,Noatum Logistics ME – Abu Dhabi Branch,27,low_priority,Abu Dhabi,Logistics (secondary),https://noatumlogistics.com/,noatumlogistics.com,"M02 floor, Al Saman Tower - Hamdan Bin Mohammed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Noatum%20Logistics%20ME%20%E2%80%93%20Abu%20Dhabi%20Branch&query_place_id=ChIJ5fX2XQZnXj4RcHwd2l38hKY
